# Time-averaged data for fix vave
# TimeStep v_visc
56000 1.22071
57000 1.11668
58000 1.10809
59000 1.0877
60000 1.09858
61000 1.0869
62000 1.08366
63000 1.11046
64000 1.17257
65000 1.1663
66000 1.19839
67000 1.18797
68000 1.19675
69000 1.19025
70000 1.17106
71000 1.16779
72000 1.17146
73000 1.15209
74000 1.15249
75000 1.14932
76000 1.13356
77000 1.14794
78000 1.14721
79000 1.14465
80000 1.13899
81000 1.14388
82000 1.13039
83000 1.13157
84000 1.13314
85000 1.14104
86000 1.13006
87000 1.12368
88000 1.12158
89000 1.11652
90000 1.12407
91000 1.12751
92000 1.1231
93000 1.12979
94000 1.13616
95000 1.15037
96000 1.15781
97000 1.15366
98000 1.15665
99000 1.15494
100000 1.15853
101000 1.17219
102000 1.17537
103000 1.17287
104000 1.17174
105000 1.17311
